viagem_id,veiculo_id,motorista_id,geocerca_origem_id,geocerca_destino_id,data_inicio,data_fim_prevista,data_fim_real,status,distancia_km,peso_carga_kg,nota_fiscal
VIA-000036,VEI-0018,MOT-0052,GEO-0006,GEO-0036,2026-04-28 21:36:36.762809,2026-04-29 12:36:36.762809,,cancelada,733,26223,NF-532160
VIA-000037,VEI-0044,MOT-0042,GEO-0001,GEO-0032,2026-04-28 21:36:44.566270,2026-04-30 13:36:44.566270,2026-04-30 18:36:44.566270,concluida,1653,3419,NF-882825
VIA-000038,VEI-0052,MOT-0055,GEO-0003,GEO-0001,2026-04-28 21:36:03.068864,2026-05-01 13:36:03.068864,,em_transito,251,16647,NF-190623
VIA-000039,VEI-0104,MOT-0108,GEO-0008,GEO-0038,2026-04-28 21:37:58.051875,2026-04-29 16:37:58.051875,,em_transito,1378,9571,NF-791234
VIA-000040,VEI-0065,MOT-0021,GEO-0001,GEO-0028,2026-04-28 21:36:52.102607,2026-04-30 05:36:52.102607,2026-04-30 08:36:52.102607,concluida,525,38195,NF-304042
VIA-000041,VEI-0149,MOT-0029,GEO-0004,GEO-0008,2026-04-28 21:38:01.207331,2026-04-30 11:38:01.207331,,em_transito,-1147,26326,NF-378644
VIA-000042,VEI-0069,MOT-0117,GEO-0002,GEO-0025,2026-04-28 21:34:46.479184,2026-04-29 10:34:46.479184,,em_transito,2117,21139,NF-707986
VIA-000043,VEI-0086,MOT-0048,GEO-0002,GEO-0027,2026-04-28 21:34:42.057719,2026-04-30 02:34:42.057719,2026-04-30 10:34:42.057719,concluida,1751,36136,NF-706172
VIA-000044,VEI-0068,MOT-0049,GEO-0002,GEO-0023,2026-04-28 21:37:04.745356,2026-04-30 15:37:04.745356,2026-04-30 17:37:04.745356,concluida,1544,6512,NF-649654
VIA-000045,VEI-0104,MOT-0095,GEO-0006,GEO-0005,2026-04-28 21:33:45.020980,2026-04-29 11:33:45.020980,2026-04-29 10:33:45.020980,concluida,1101,25810,NF-328831
VIA-000046,VEI-0015,MOT-0073,GEO-0005,GEO-0002,2026-04-28 21:35:26.021406,2026-04-30 11:35:26.021406,,em_transito,356,25616,NF-150798
VIA-000047,VEI-0014,MOT-0001,GEO-0005,GEO-0034,2026-04-28 21:35:59.052383,2026-04-29 10:35:59.052383,,atrasada,916,12841,NF-432648
VIA-000048,VEI-0100,MOT-0078,GEO-0003,GEO-0025,2026-04-28 21:35:38.371040,2026-04-30 04:35:38.371040,2026-04-30 04:35:38.371040,concluida,2414,25446,NF-130190
VIA-000049,VEI-0146,MOT-0052,GEO-0008,GEO-0027,2026-04-28 21:39:02.608760,2026-05-01 16:39:02.608760,2026-05-01 20:39:02.608760,concluida,1181,8610,NF-783952
VIA-000050,VEI-0141,MOT-0044,GEO-0003,GEO-0021,2026-04-28 21:37:01.274068,2026-04-29 06:37:01.274068,2026-04-29 14:37:01.274068,concluida,1543,20003,NF-130590
VIA-000051,VEI-0124,MOT-0016,GEO-0007,GEO-0019,2026-04-28 21:34:56.169374,2026-05-01 09:34:56.169374,2026-05-01 12:34:56.169374,concluida,1616,24759,NF-986439
VIA-000052,VEI-0067,MOT-0110,GEO-0002,GEO-0035,2026-04-28 21:37:17.811371,2026-04-30 02:37:17.811371,2026-04-30 06:37:17.811371,concluida,106,6203,NF-257892
VIA-000053,VEI-0134,MOT-0046,GEO-0007,GEO-0006,2026-04-28 21:37:56.497755,2026-04-29 15:37:56.497755,,em_transito,1962,37446,NF-151449
VIA-000054,VEI-0137,MOT-0036,GEO-0002,GEO-0021,2026-04-28 21:34:37.579186,2026-05-01 11:34:37.579186,2026-05-01 19:34:37.579186,concluida,1965,26433,NF-362975
VIA-000055,VEI-0007,MOT-0036,GEO-0005,GEO-0002,2026-04-28 21:37:12.442679,2026-04-29 03:37:12.442679,2026-04-29 01:37:12.442679,concluida,1860,23822,NF-463601
VIA-000056,VEI-0148,MOT-0043,GEO-0005,GEO-0037,2026-04-28 21:35:27.232193,2026-05-01 11:35:27.232193,2026-05-01 11:35:27.232193,concluida,1989,19740,NF-279921
VIA-000057,VEI-0147,MOT-0014,GEO-0004,GEO-0005,2026-04-28 21:35:26.077533,2026-04-30 21:35:26.077533,2026-05-01 04:35:26.077533,concluida,754,28012,NF-200597
VIA-000058,VEI-0122,MOT-0112,GEO-0004,GEO-0038,2026-04-28 21:37:22.248689,2026-04-30 11:37:22.248689,,em_transito,1010,9501,NF-363772
VIA-000059,VEI-0098,MOT-0010,GEO-0007,GEO-0022,2026-04-28 21:34:40.105822,2026-04-29 15:34:40.105822,2026-04-29 17:34:40.105822,concluida,708,17132,NF-844602
VIA-000060,VEI-0093,MOT-0078,GEO-0001,GEO-0021,2026-04-28 21:33:52.088180,2026-05-01 01:33:52.088180,,atrasada,2324,38629,NF-907087
VIA-000061,VEI-0039,MOT-0078,GEO-0005,GEO-0004,2026-04-28 21:34:51.994017,2026-04-30 20:34:51.994017,2026-04-30 21:34:51.994017,concluida,1740,37112,NF-958275
VIA-000062,VEI-0026,MOT-0106,GEO-0002,GEO-0030,2026-04-28 21:37:30.202960,2026-04-29 20:37:30.202960,2026-04-29 18:37:30.202960,concluida,1317,8366,NF-993125
VIA-000063,VEI-0063,MOT-0045,GEO-0006,GEO-0035,2026-04-28 21:35:03.428347,2026-04-30 22:35:03.428347,2026-04-30 23:35:03.428347,concluida,982,19637,NF-603034
VIA-000064,VEI-0106,MOT-0062,GEO-0007,GEO-0035,2026-04-28 21:34:48.878720,2026-05-01 20:34:48.878720,2026-05-02 04:34:48.878720,concluida,504,3070,NF-378700
VIA-000065,VEI-0137,MOT-0059,GEO-0006,GEO-0021,2026-04-28 21:37:35.449266,2026-04-29 18:37:35.449266,2026-04-29 20:37:35.449266,concluida,2360,13453,NF-823666
VIA-000066,VEI-0075,MOT-0085,GEO-0006,GEO-0035,2026-04-28 21:36:27.231837,2026-04-30 03:36:27.231837,,cancelada,564,26803,NF-392707
VIA-000067,VEI-0078,MOT-0110,GEO-0001,GEO-0033,2026-04-28 21:34:15.357365,2026-04-30 21:34:15.357365,2026-04-30 20:34:15.357365,concluida,1422,31766,NF-341150
VIA-000068,VEI-0050,MOT-0047,GEO-0002,GEO-0038,2026-04-28 21:35:07.855046,2026-04-29 08:35:07.855046,2026-04-29 08:35:07.855046,concluida,2299,15769,NF-754866
VIA-000069,VEI-0128,MOT-0086,GEO-0004,GEO-0005,2026-04-28 21:34:04.189725,2026-04-29 19:34:04.189725,2026-04-29 17:34:04.189725,concluida,351,30070,NF-895535
VIA-000070,VEI-0143,MOT-0066,GEO-0006,GEO-0027,2026-04-28 21:34:26.439863,2026-05-01 18:34:26.439863,,em_transito,1750,11895,NF-538985
VIA-000071,VEI-0066,MOT-0063,GEO-0002,GEO-0023,2026-04-28 21:34:22.866162,2026-04-29 14:34:22.866162,2026-04-29 13:34:22.866162,concluida,1832,25637,NF-731797
VIA-000072,VEI-0136,MOT-0012,GEO-0003,GEO-0024,2026-04-28 21:39:03.853938,2026-05-01 17:39:03.853938,2026-05-01 23:39:03.853938,concluida,1941,13582,NF-864675
VIA-000073,VEI-0136,MOT-0080,GEO-0005,GEO-0006,2026-04-28 21:39:21.266450,2026-05-01 12:39:21.266450,,cancelada,1622,35473,NF-474537
VIA-000074,VEI-0034,MOT-0050,GEO-0003,GEO-0005,2026-04-28 21:38:44.048345,2026-05-01 06:38:44.048345,,cancelada,1721,21391,NF-979550
VIA-000075,VEI-0107,MOT-0025,GEO-0004,GEO-0003,2026-04-28 21:38:45.267932,2026-04-30 11:38:45.267932,2026-04-30 17:38:45.267932,concluida,200,23274,NF-567793
VIA-000076,VEI-0055,MOT-0085,GEO-0005,GEO-0029,2026-04-28 21:39:32.499511,2026-04-29 21:39:32.499511,,em_transito,1326,15868,NF-286412
VIA-000077,VEI-0097,MOT-0028,GEO-0007,GEO-0022,2026-04-28 21:35:27.878546,2026-04-30 09:35:27.878546,2026-04-30 11:35:27.878546,concluida,1829,875,NF-330763
VIA-000078,VEI-0051,MOT-0007,GEO-0004,GEO-0027,2026-04-28 21:35:46.824862,2026-04-30 00:35:46.824862,2026-04-30 06:35:46.824862,concluida,1408,38797,NF-176191
VIA-000079,VEI-0133,MOT-0091,GEO-0005,GEO-0004,2026-04-28 21:34:47.573246,2026-04-29 23:34:47.573246,2026-04-30 01:34:47.573246,concluida,364,12976,
VIA-000080,VEI-0034,MOT-0100,GEO-0003,GEO-0028,2026-04-28 21:38:13.495002,2026-05-01 13:38:13.495002,2026-05-01 18:38:13.495002,concluida,1502,8564,NF-742673
VIA-000081,VEI-0017,MOT-0091,GEO-0005,GEO-0002,2026-04-28 21:38:18.281854,2026-04-30 08:38:18.281854,2026-04-30 12:38:18.281854,concluida,-1699,12161,NF-336838
VIA-000082,VEI-0110,MOT-0110,GEO-0001,GEO-0030,2026-04-28 21:39:24.344794,2026-04-29 23:39:24.344794,2026-04-29 21:39:24.344794,concluida,729,39920,NF-837460
VIA-000083,VEI-0060,MOT-0068,GEO-0008,GEO-0007,2026-04-28 21:35:33.578799,2026-05-01 04:35:33.578799,,cancelada,1395,1962,NF-924012
VIA-000084,VEI-0007,MOT-0010,GEO-0001,GEO-0025,2026-04-28 21:38:23.593844,2026-04-30 19:38:23.593844,2026-04-30 20:38:23.593844,concluida,986,7423,NF-925036
VIA-000085,VEI-0142,MOT-0039,GEO-0006,GEO-0027,2026-04-28 21:33:48.788425,2026-04-29 08:33:48.788425,2026-04-29 10:33:48.788425,concluida,2200,16819,NF-433218
VIA-000086,VEI-0030,MOT-0013,GEO-0002,GEO-0033,2026-04-28 21:37:13.683526,2026-05-01 18:37:13.683526,2026-05-02 00:37:13.683526,concluida,2282,10309,NF-537781
VIA-000087,VEI-0092,MOT-0028,GEO-0004,GEO-0022,2026-04-28 21:35:13.063198,2026-04-30 13:35:13.063198,2026-04-30 12:35:13.063198,concluida,1198,1686,NF-874311
VIA-000088,VEI-0074,MOT-0006,GEO-0003,GEO-0019,2026-04-28 21:35:53.098908,2026-04-29 07:35:53.098908,2026-04-29 11:35:53.098908,concluida,1503,17047,NF-968811
VIA-000089,VEI-0095,MOT-0085,GEO-0005,GEO-0025,2026-04-28 21:34:01.655097,2026-05-01 19:34:01.655097,2026-05-01 20:34:01.655097,concluida,1996,36293,NF-491939
VIA-000090,VEI-0057,MOT-0001,GEO-0007,GEO-0023,2026-04-28 21:36:29.951727,2026-04-30 04:36:29.951727,,cancelada,1373,5739,NF-841675
VIA-000091,VEI-0101,MOT-0018,GEO-0001,GEO-0035,2026-04-28 21:39:34.789567,2026-04-29 09:39:34.789567,2026-04-29 14:39:34.789567,concluida,1893,15153,NF-353414
VIA-000092,VEI-0067,MOT-0100,GEO-0007,GEO-0026,2026-04-28 21:37:20.397319,2026-05-01 14:37:20.397319,2026-05-01 12:37:20.397319,concluida,390,20091,NF-973777
VIA-000093,VEI-0097,MOT-0064,GEO-0004,GEO-0019,2026-04-28 21:37:21.949345,2026-04-29 23:37:21.949345,2026-04-30 05:37:21.949345,concluida,1276,18080,NF-290880
VIA-000094,VEI-0006,MOT-0028,GEO-0002,GEO-0004,2026-04-28 21:39:00.339682,2026-04-30 15:39:00.339682,,em_transito,144,38308,NF-749069
VIA-000095,VEI-0108,MOT-0055,GEO-0007,GEO-0028,2026-04-28 21:35:56.122486,2026-05-01 18:35:56.122486,2026-05-01 20:35:56.122486,concluida,736,25485,NF-877715
VIA-000096,VEI-0019,MOT-0013,GEO-0004,GEO-0021,2026-04-28 21:38:32.609817,2026-04-30 05:38:32.609817,,cancelada,1551,22148,NF-635394
VIA-000097,VEI-0027,MOT-0100,GEO-0007,GEO-0028,2026-04-28 21:34:36.891551,2026-04-29 09:34:36.891551,2026-04-29 10:34:36.891551,concluida,1493,23038,NF-390700
VIA-000098,VEI-0061,MOT-0020,GEO-0002,GEO-0001,2026-04-28 21:37:48.603407,2026-05-01 02:37:48.603407,2026-05-01 07:37:48.603407,concluida,369,24448,NF-358757
VIA-000099,VEI-0075,MOT-0031,GEO-0008,GEO-0025,2026-04-28 21:39:29.125140,2026-04-30 02:39:29.125140,2026-04-30 03:39:29.125140,concluida,2079,510,NF-975798
VIA-000100,VEI-0140,MOT-0014,GEO-0002,GEO-0023,2026-04-28 21:38:26.113435,2026-04-30 07:38:26.113435,2026-04-30 11:38:26.113435,concluida,2219,23717,NF-903051
VIA-000101,VEI-0098,MOT-0019,GEO-0005,GEO-0008,2026-04-28 21:35:48.182580,2026-04-29 20:35:48.182580,2026-04-30 03:35:48.182580,concluida,1336,39951,NF-389967
VIA-000102,VEI-0123,MOT-0014,GEO-0002,GEO-0037,2026-04-28 21:35:55.728757,2026-04-30 09:35:55.728757,2026-04-30 08:35:55.728757,concluida,770,2990,NF-930739
VIA-000103,VEI-0150,MOT-0011,GEO-0008,GEO-0020,2026-04-28 21:33:45.669097,2026-04-30 04:33:45.669097,2026-04-30 06:33:45.669097,concluida,2196,22909,NF-151664
VIA-000104,VEI-0047,MOT-0062,GEO-0003,GEO-0024,2026-04-28 21:39:35.024289,2026-04-30 23:39:35.024289,2026-04-30 23:39:35.024289,concluida,221,22715,NF-391849
VIA-000105,VEI-0095,MOT-0010,GEO-0001,GEO-0019,2026-04-28 21:35:07.222932,2026-04-30 18:35:07.222932,,cancelada,-468,12906,NF-810302
VIA-000106,VEI-0107,MOT-0035,GEO-0006,GEO-0027,2026-04-28 21:38:04.533923,2026-05-01 14:38:04.533923,2026-05-01 17:38:04.533923,concluida,2468,779,NF-852580
VIA-000107,VEI-0026,MOT-0093,GEO-0008,GEO-0020,2026-04-28 21:38:36.905750,2026-04-30 10:38:36.905750,2026-04-30 08:38:36.905750,concluida,899,4070,NF-344578
VIA-000108,VEI-0097,MOT-0100,GEO-0005,GEO-0019,2026-04-28 21:34:30.902223,2026-04-30 12:34:30.902223,2026-04-30 13:34:30.902223,concluida,1425,23990,NF-805955
VIA-000109,VEI-0093,MOT-0093,GEO-0005,GEO-0027,2026-04-28 21:36:04.744068,2026-05-01 04:36:04.744068,,cancelada,1369,8863,NF-235955
VIA-000110,VEI-0079,MOT-0084,GEO-0005,GEO-0003,2026-04-28 21:34:18.505832,2026-05-01 09:34:18.505832,2026-05-01 11:34:18.505832,concluida,1239,11817,NF-425802
VIA-000111,VEI-0111,MOT-0108,GEO-0001,GEO-0026,2026-04-28 21:35:55.405951,2026-05-01 18:35:55.405951,,atrasada,311,31577,NF-833198
VIA-000112,VEI-0070,MOT-0013,GEO-0008,GEO-0021,2026-04-28 21:37:50.891026,2026-05-01 08:37:50.891026,2026-05-01 11:37:50.891026,concluida,1917,12516,NF-449063
VIA-000113,VEI-0030,MOT-0081,GEO-0004,GEO-0008,2026-04-28 21:39:32.591278,2026-04-30 16:39:32.591278,2026-04-30 22:39:32.591278,concluida,883,31470,NF-768881
VIA-000114,VEI-0027,MOT-0063,GEO-0007,GEO-0006,2026-04-28 21:35:29.048449,2026-04-30 22:35:29.048449,2026-05-01 06:35:29.048449,concluida,2322,33862,NF-663475
VIA-000115,VEI-0025,MOT-0055,GEO-0008,GEO-0035,2026-04-28 21:34:58.211731,2026-04-30 02:34:58.211731,2026-04-30 09:34:58.211731,concluida,1022,0,NF-557816
VIA-000116,VEI-0130,MOT-0062,GEO-0008,GEO-0002,2026-04-28 21:35:37.693378,2026-04-30 18:35:37.693378,,em_transito,1712,28833,NF-838772
VIA-000117,VEI-0059,MOT-0089,GEO-0006,GEO-0037,2026-04-28 21:34:22.773590,2026-05-01 16:34:22.773590,2026-05-01 20:34:22.773590,concluida,927,28299,NF-370487
VIA-000118,VEI-0080,MOT-0018,GEO-0006,GEO-0020,2026-04-28 21:39:36.720904,2026-04-29 20:39:36.720904,2026-04-30 01:39:36.720904,concluida,1147,17564,NF-466020
VIA-000119,VEI-0080,MOT-0009,GEO-0001,GEO-0006,2026-04-28 21:38:41.500723,2026-04-30 07:38:41.500723,,cancelada,1031,0,NF-183846
VIA-000120,VEI-0026,MOT-0061,GEO-0008,GEO-0030,2026-04-28 21:34:39.542407,2026-04-29 16:34:39.542407,2026-04-29 17:34:39.542407,concluida,1082,2145,NF-223720
VIA-000121,VEI-0046,MOT-0113,GEO-0005,GEO-0028,2026-04-28 21:35:02.861608,2026-05-01 17:35:02.861608,2026-05-02 00:35:02.861608,concluida,1092,19338,NF-459425
VIA-000122,VEI-0145,MOT-0055,GEO-0003,GEO-0021,2026-04-28 21:39:10.920847,2026-05-01 14:39:10.920847,2026-05-01 21:39:10.920847,concluida,2017,19332,NF-408738
VIA-000123,VEI-0115,MOT-0076,GEO-0002,GEO-0032,2026-04-28 21:37:24.813164,2026-04-30 11:37:24.813164,2026-04-30 18:37:24.813164,concluida,2337,0,NF-231273
VIA-000124,VEI-0092,MOT-0028,GEO-0007,GEO-0034,2026-04-28 21:37:45.576322,2026-05-01 08:37:45.576322,2026-05-01 12:37:45.576322,concluida,1620,3413,NF-536836
VIA-000125,VEI-0025,MOT-0119,GEO-0004,GEO-0005,2026-04-28 21:34:15.902810,2026-05-01 00:34:15.902810,2026-05-01 08:34:15.902810,concluida,450,12802,NF-104139
VIA-000126,VEI-0031,MOT-0099,GEO-0005,GEO-0025,2026-04-28 21:37:35.349064,2026-05-01 16:37:35.349064,,cancelada,199,5392,NF-672813
VIA-000127,VEI-0119,MOT-0049,GEO-0005,GEO-0033,2026-04-28 21:34:52.874688,2026-04-30 20:34:52.874688,2026-04-30 21:34:52.874688,concluida,328,10576,NF-274228
VIA-000128,VEI-0038,MOT-0001,GEO-0008,GEO-0003,2026-04-28 21:39:11.185527,2026-04-30 14:39:11.185527,2026-04-30 17:39:11.185527,concluida,560,10127,NF-799827
VIA-000129,VEI-0093,MOT-0119,GEO-0001,GEO-0023,2026-04-28 21:36:04.758556,2026-04-30 10:36:04.758556,2026-04-30 10:36:04.758556,concluida,606,21595,NF-850720
VIA-000130,VEI-0147,MOT-0035,GEO-0004,GEO-0021,2026-04-28 21:36:55.620434,2026-04-29 08:36:55.620434,2026-04-29 08:36:55.620434,concluida,2467,31436,NF-647970
VIA-000131,VEI-0052,MOT-0049,GEO-0004,GEO-0038,2026-04-28 21:34:35.282153,2026-04-29 21:34:35.282153,,cancelada,2044,32129,NF-190797
VIA-000132,VEI-0062,MOT-0114,GEO-0006,GEO-0029,2026-04-28 21:34:02.729961,2026-04-30 21:34:02.729961,2026-05-01 03:34:02.729961,concluida,1181,27946,NF-757072
VIA-000133,VEI-0072,MOT-0109,GEO-0005,GEO-0021,2026-04-28 21:37:56.676209,2026-05-01 18:37:56.676209,,em_transito,1461,38724,NF-136074
VIA-000134,VEI-0145,MOT-0072,GEO-0008,GEO-0024,2026-04-28 21:34:12.272432,2026-05-01 12:34:12.272432,,atrasada,352,1486,NF-598714
VIA-000135,VEI-0044,MOT-0009,GEO-0002,GEO-0019,2026-04-28 21:34:24.624043,2026-04-29 08:34:24.624043,,atrasada,348,17754,NF-877836
VIA-000136,VEI-0115,MOT-0096,GEO-0004,GEO-0038,2026-04-28 21:36:34.722531,2026-04-30 06:36:34.722531,,atrasada,2190,2154,NF-260638
VIA-000137,VEI-0025,MOT-0086,GEO-0007,GEO-0020,2026-04-28 21:37:57.002261,2026-04-30 09:37:57.002261,,em_transito,1072,12331,NF-790488
VIA-000138,VEI-0071,MOT-0056,GEO-0003,GEO-0037,2026-04-28 21:36:25.496747,2026-04-30 18:36:25.496747,2026-04-30 22:36:25.496747,concluida,638,35535,NF-285398
VIA-000139,VEI-0055,MOT-0049,GEO-0003,GEO-0026,2026-04-28 21:34:07.021289,2026-04-30 09:34:07.021289,2026-04-30 12:34:07.021289,concluida,964,2801,NF-884911
VIA-000140,VEI-0068,MOT-0107,GEO-0006,GEO-0038,2026-04-28 21:37:16.937820,2026-05-01 11:37:16.937820,2026-05-01 12:37:16.937820,concluida,126,10964,NF-238499
VIA-000141,VEI-0020,MOT-0072,GEO-0002,GEO-0024,2026-04-28 21:35:27.154990,2026-05-01 06:35:27.154990,2026-05-01 06:35:27.154990,concluida,237,33852,NF-906357
VIA-000142,VEI-0008,MOT-0026,GEO-0002,GEO-0025,2026-04-28 21:36:06.080127,2026-04-30 13:36:06.080127,,em_transito,430,1383,NF-747429
VIA-000143,VEI-0122,MOT-0090,GEO-0002,GEO-0029,2026-04-28 21:36:39.200127,2026-04-29 03:36:39.200127,2026-04-29 08:36:39.200127,concluida,1708,30595,NF-221443
VIA-000144,VEI-0110,MOT-0062,GEO-0005,GEO-0028,2026-04-28 21:35:19.282029,2026-05-01 20:35:19.282029,,em_transito,2233,20792,NF-703369
VIA-000145,VEI-0102,MOT-0037,GEO-0004,GEO-0007,2026-04-28 21:35:18.192012,2026-04-29 14:35:18.192012,2026-04-29 17:35:18.192012,concluida,1951,37890,NF-386402
VIA-000146,VEI-0126,MOT-0069,GEO-0001,GEO-0035,2026-04-28 21:36:58.039850,2026-05-01 10:36:58.039850,2026-05-01 18:36:58.039850,concluida,2092,21720,NF-868210
VIA-000147,VEI-0008,MOT-0071,GEO-0004,GEO-0034,2026-04-28 21:33:46.505504,2026-05-01 14:33:46.505504,2026-05-01 20:33:46.505504,concluida,2293,38402,NF-537740
